"","species_id","Species","taxon_order","taxon_family","taxon_genus","taxon_species","atga","autx","chil","deco","edal","foco","inin","ioio","maks","mela","naca","phaz","rony","safl","scut","sewa","sfba","slmo","tawa","wide","city_occ","species_code","guild_trophic","group_feeding","guild_t_code","diet","forage_location","forage_behavior","active_period","binomial","mass","mass_g_std","logmass","logmass.std","carn","carn.std","name_common"
"1",1,"antelope_ground_squirrel","Rodentia","Sciuridae","Ammospermophilus","spp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,"AMSP","Granivore: ground forager-diurnal","Granivores",2,"granivore","ground","forager","diurnal","Ammospermophilus spp",112.835,-0.373629097710037,2.05244383323908,-1.45706688726844,0,-0.719366851564228,"Antelope ground squirrel sp."
"2",2,"armadillo","Cingulata","Dasypodae","Dasypus","novemcinctus",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,"DANO","Insectivore: ground forager-nocturnal","Insectivores",4,"insectivore","ground","forager","nocturnal","Dasypus novemcinctus",4203.78,-0.310810325013105,3.62363997964781,0.193491107272676,0,-0.719366851564228,"Armadillo"
"3",3,"black_bear","Carnivora","Ursidae","Ursus","americanus",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,18,"URAM","Omnivore-diurnal","Omnivores",4,"omnivore",NA,NA,"diurnal","Ursus americanus",99949.36,1.15941717175252,4.99978001757011,1.63914061856539,0.2,-0.144908430530924,"Black bear"
"4",4,"bobcat","Carnivora","Felidae","Lynx","rufus",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18,"LYRU","Carnivore: ground hunter-nocturnal","Carnivores",1,"carnivore","ground","hunter","nocturnal","Lynx rufus",8904.1,-0.238634254769472,3.9495900288204,0.535905045031233,1,2.15292525360229,"Bobcat"
"5",5,"california_ground_squirrel","Rodentia","Sciuridae","Otospermophilus","beecheyi",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,"OTBE","Herbivore: ground forager-diurnal","Herbivores",3,"herbivore","ground","forager","diurnal","Otospermophilus beecheyi",578.5,-0.366478548438923,2.76230336328777,-0.711352022195023,0,-0.719366851564228,"California ground squirrel"
"6",6,"cottontail_sp","Lagomorpha","Leporidae","Sylvilagus","spp",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,"SYSP","Herbivore: ground forager-nocturnal","Herbivores",3,"herbivore","ground","forager","nocturnal","Sylvilagus spp",992.152,-0.360126688180809,2.99657821217871,-0.465243841723285,0,-0.719366851564228,"Cottontail rabbit sp."
"7",7,"cougar","Carnivora","Felidae","Puma","concolor",0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,10,"PUCO","Carnivore: ground hunter-nocturnal","Carnivores",1,"carnivore","ground","hunter","nocturnal","Puma concolor",51600.04,0.416986035882645,4.71265003828947,1.33750757048458,1,2.15292525360229,"Cougar"
"8",8,"coyote","Carnivora","Canidae","Canis","latrans",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,"CALA","Omnivore-nocturnal","Omnivores",4,"omnivore",NA,NA,"nocturnal","Canis latrans",13406.33,-0.169499968437266,4.1273099054512,0.722601635289747,0.7,1.29123762205234,"Coyote"
"9",9,"douglas_squirrel","Rodentia","Sciuridae","Tamiasciurus","douglasii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,"TADO","Granivore: arboreal forager-diurnal","Granivores",2,"granivore","arboreal","forager","diurnal","Tamiasciurus douglasii",225,-0.371906740738836,2.35218251811136,-1.14218826201214,0.3,0.142320779985729,"Douglas squirrel"
"10",10,"elk","Artiodactyla","Cervidae","Cervus","canadensis",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,"CECA","Grazer","Herbivores",3,"grazer",NA,NA,NA,"Cervus canadensis",165015.85,2.15854990159787,5.21752566080142,1.86788469551174,0,-0.719366851564228,"Elk"
