,species_id,Species,taxon_order,taxon_family,taxon_genus,taxon_species,atga,autx,chil,deco,edal,foco,inin,ioio,maks,mela,naca,phaz,rony,safl,scut,sewa,sfba,slmo,tawa,wide,city_occ,species_code,binomial,mass,mass_g_std,logmass,logmass.std,carn,carn.std,name_common
1,1,antelope_ground_squirrel,Rodentia,Sciuridae,Ammospermophilus,spp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,AMSP,Ammospermophilus spp,112.835,-0.373629098,2.052443833,-1.457066887,0,-0.719366852,Antelope ground squirrel sp.
2,2,armadillo,Cingulata,Dasypodae,Dasypus,novemcinctus,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,DANO,Dasypus novemcinctus,4203.78,-0.310810325,3.62363998,0.193491107,0,-0.719366852,Armadillo
3,3,black_bear,Carnivora,Ursidae,Ursus,americanus,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,18,URAM,Ursus americanus,99949.36,1.159417172,4.999780018,1.639140619,0.2,-0.144908431,Black bear
4,4,bobcat,Carnivora,Felidae,Lynx,rufus,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18,LYRU,Lynx rufus,8904.1,-0.238634255,3.949590029,0.535905045,1,2.152925254,Bobcat
5,5,california_ground_squirrel,Rodentia,Sciuridae,Otospermophilus,beecheyi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,OTBE,Otospermophilus beecheyi,578.5,-0.366478548,2.762303363,-0.711352022,0,-0.719366852,California ground squirrel
6,6,cottontail_sp,Lagomorpha,Leporidae,Sylvilagus,spp,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,SYSP,Sylvilagus spp,992.152,-0.360126688,2.996578212,-0.465243842,0,-0.719366852,Cottontail rabbit sp.
7,7,cougar,Carnivora,Felidae,Puma,concolor,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,10,PUCO,Puma concolor,51600.04,0.416986036,4.712650038,1.33750757,1,2.152925254,Cougar
8,8,coyote,Carnivora,Canidae,Canis,latrans,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,CALA,Canis latrans,13406.33,-0.169499968,4.127309905,0.722601635,0.7,1.291237622,Coyote
9,9,douglas_squirrel,Rodentia,Sciuridae,Tamiasciurus,douglasii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,TADO,Tamiasciurus douglasii,225,-0.371906741,2.352182518,-1.142188262,0.3,0.14232078,Douglas squirrel
10,10,elk,Artiodactyla,Cervidae,Cervus,canadensis,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,CECA,Cervus canadensis,165015.85,2.158549902,5.217525661,1.867884696,0,-0.719366852,Elk
