"city","x_cent","y_cent","mat_av","temp_sm_av","map_av","ppt_sm_av","cmd_av","td_av","EVI_av","PET_av","crop_reg","urb_reg","nat_reg","for_reg","mpa_n_reg","pd_n_reg","ed_n_reg","mpa_u_reg","pd_u_reg","ed_u_reg","city_name","state_prov","date_col","date_inc","date_col_n","date_inc_n","survey_yr","yrs_col","yrs_inc","EVI_av_std","mat_av_std","urb_reg_std","yrs_col_std","rich_known_reg","rich_obs_reg","RR_mean","RR_med","RR_sd","RR_2_5","RR_97_5","RR_5","RR_95"
"atga",1063953.06600426,1277101.76673399,15.885330470327,25.0930034958354,1310.93558064972,336.379494900578,255.624521181659,20.3195925309967,0.31709239979585,1286.47759602865,0.0324655119214275,0.647808144536477,0.308039549904426,0.294151222472953,8.0590845118478,4.64048021528204,83.2445971896424,375.493090405648,0.199816925225114,79.9317834333586,"Atlanta","GA",1837,1847,"","",2019,182,172,1.44137766094064,0.663016011157387,0.554978150675934,-0.280949613375403,20,9,11.0847333333333,11,1.47326952872649,9,14,9,14
"autx",-167455.536567027,799018.274998784,19.969347845702,28.4385881204284,868.949853282211,208.220769154204,649.005149937094,19.0845930208339,0.270699578982133,1477.18222280649,0.0568897229624822,0.631882000919317,0.290144802766175,0.173326982409432,12.7398962123985,2.43547104257145,51.1550295230632,413.955858239378,0.155586250493592,47.4637690339653,"Austin","TX",1835,1839,"","",2018,183,179,0.607798780606181,1.50905338697769,0.467817680113272,-0.2588411591466,21,9,10.8642666666667,11,1.2738276333566,9,14,9,13
"chil",670625.326537006,2126072.51667821,9.80225363839637,21.9483300561081,947.987661758477,303.199198515001,131.274152445753,27.4966773921992,0.203738434612751,967.834197034334,0.022439451657236,0.809068625086724,0.084599546301462,0.0404151221404115,9.71417596267024,0.843139122015895,15.6306901724616,2571.06530292573,0.0519356059569852,17.5967325342875,"Chicago","IL",1780,1833,"","",2019,239,186,-0.595348490250001,-0.597142770446058,1.43752321028322,0.818354659104994,21,12,12.6191666666667,12,0.775828162274253,12,14,12,14
"deco",-762983.720185509,1894226.60938925,10.3564423651945,21.2741158005901,431.099517091764,145.329862995282,663.886944937451,22.9029433573298,0.180538267335471,1131.32666733686,0.0406024109290869,0.758159972863234,0.189708946570387,0.0270404710747064,15.7468563239985,1.10067320227044,20.2923291659626,1014.32670689012,0.0958366943632565,23.345744965874,"Denver","CO",1858,1861,"","",2018,160,157,-1.01220543327187,-0.482338073738216,1.15891074827268,-0.800762268961877,24,8,9.88981666666667,10,1.32048174072546,8,13,8,12
"edal",-1198888.58659719,3491065.72112219,2.70696784518065,15.4291898461348,474.59520637833,252.682632152738,174.015486430539,29.0106527276509,0.193136485914389,712.327729724702,0.181346413507872,0.60500761584446,0.187461388765462,0.0464888814891659,9.56052350721226,1.99583548209161,37.9512478535871,479.537741685833,0.152131449014026,35.5171060523301,"Edmonton","AB",1795,1892,"","",2018,223,126,-0.785842630729836,-2.06698886105827,0.32073976184793,0.538777374970152,19,12,13.0202166666667,13,0.986318491559227,12,15,12,15
"foco",-760771.42222651,1987112.37700927,8.96529695710725,20.1626689067301,394.298494827009,128.464374022756,622.632705784661,23.9061934423043,0.176394173392543,1107.46894440828,0.209747367143104,0.357592051824157,0.369191259994841,0.0385880070844189,27.044643523614,1.70573309461314,40.8608889725769,233.925282293315,0.154659044217268,36.9220137022851,"Fort Collins","CO",1864,1883,"","",2017,153,134,-1.08666585900923,-0.770525145991925,-1.03331414491834,-0.981261884045147,24,12,13.2344833333333,13,1.05963182916636,12,16,12,15
"inin",831486.475037524,1917576.83484886,11.1546688960878,22.7362748032375,1050.96797140487,298.955415625968,173.511979648056,25.7831942648439,0.299575155689603,1062.86427525112,0.168169775842309,0.745022824514983,0.0670885390994841,0.0575079781046355,4.09302094057028,1.57151086212303,20.8286224926238,840.513180887535,0.102532759457593,30.4192809047519,"Indianapolis","IN",1821,1832,"","",2018,197,186,1.12663058429137,-0.316978963471184,1.08701386856281,0.0385932482529223,19,13,14.0260333333333,14,0.99915242613347,13,16,13,16
"ioio",365728.79777948,2086197.47976248,9.93696776873936,22.5801211248774,946.250868783857,365.46538298491,95.7901114789598,29.042636800019,0.247367893119116,1030.79154019742,0.493456396148455,0.236053060415753,0.233597438282339,0.154789378330461,14.1125016226122,1.72690170263489,41.8357143642094,147.136579113945,0.159863247606337,37.0750078856656,"Iowa City","IO",1839,1839,"","",2018,179,179,0.188578732398666,-0.569235643995394,-1.69847175855771,-0.348011259133205,20,12,12.68325,13,0.794415900170501,12,15,12,14
"maks",-58423.8723451027,1790591.87313814,12.846849959,25.0905462832454,872.627252409231,350.238430271368,246.124054393526,27.4881965116405,0.230209931731224,1169.78751704378,0.245244240696077,0.1667963256309,0.538504796404504,0.16388049041057,48.8273614771651,1.14985359154285,43.7730122634435,166.218875169172,0.105832339052866,32.9767198079685,"Manhattan","KS",1855,1857,"","",2016,161,159,-0.119712809087254,0.0335700901423771,-2.07749945908511,-0.775623353983798,18,11,11.6639666666667,11,0.793048179061311,11,14,11,13
"mela",-1997104.04616464,1438870.34296215,17.1333464827785,21.5690987513284,412.781338532592,5.49082319215104,954.877802675734,10.3473895588628,0.199093526890201,1347.33719758065,0.00685798945331223,0.657834581743103,0.331504290221081,0.0107709574606115,34.9084083552854,1.14503659677069,21.0684717287034,1526.74249457163,0.0937078955653931,20.9922956834075,"Metropolitan Los Angeles","CA",1875,1886,"","",2020,145,134,-0.678807458916018,0.921552666393637,0.609850755495026,-1.19794658173225,18,12,13.47475,13,1.13869108239374,12,16,12,16
